source	target	weight
tgn,7013949	tgn,7017498	29
tgn,7013949	tgn,7017496	2
tgn,7013949	tgn,7017444	20
tgn,7013949	tgn,7016154	9
tgn,7013949	tgn,7016129	2
tgn,7013949	tgn,7014729	10
tgn,7013949	tgn,7014664	2
tgn,7013949	tgn,7014631	39
tgn,7013949	tgn,7014629	3
tgn,7013949	tgn,7014620	10
tgn,7013949	tgn,7014538	5
tgn,7013949	tgn,7014487	26
tgn,7013949	tgn,7014456	3
tgn,7013949	tgn,7014444	12
tgn,7013949	tgn,7014406	26
tgn,7013949	tgn,7014404	33
tgn,7013949	tgn,7014345	18
tgn,7013949	tgn,7014299	3
tgn,7013949	tgn,7014278	23
tgn,7013949	tgn,7014231	69
tgn,7013949	tgn,7014197	90
tgn,7013949	tgn,7014060	2
tgn,7013949	tgn,7013981	10
tgn,7013949	tgn,7013980	11
tgn,7013949	tgn,7013972	16
tgn,7013949	tgn,7013964	224
tgn,7013949	tgn,7013962	81
tgn,7013949	tgn,7013952	7
tgn,7013949	tgn,7013949	138
tgn,7013943	tgn,7021610	9
tgn,7013943	tgn,7018995	95
tgn,7013943	tgn,7018023	325
tgn,7013943	tgn,7017751	37
tgn,7013943	tgn,7017750	117
tgn,7013943	tgn,7017708	269
tgn,7013943	tgn,7017649	102
tgn,7013943	tgn,7017544	39
tgn,7013943	tgn,7017498	64
tgn,7013943	tgn,7017496	90
tgn,7013943	tgn,7017444	57
tgn,7013943	tgn,7016154	148
tgn,7013943	tgn,7016129	147
tgn,7013943	tgn,7014729	45
tgn,7013943	tgn,7014664	101
tgn,7013943	tgn,7014631	91
tgn,7013943	tgn,7014629	69
tgn,7013943	tgn,7014620	130
tgn,7013943	tgn,7014538	143
tgn,7013943	tgn,7014487	148
tgn,7013943	tgn,7014456	13
